City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Port Elizabeth,ZA,2022-10-06 06:57:27,-33.918,25.5701,64.69,80,75,16.11
141,Mehamn,NO,2022-10-06 07:00:12,71.0357,27.8492,44.55,87,75,12.66
142,Mandera,KE,2022-10-06 07:00:13,3.9366,41.867,85.41,50,78,11.34
143,Lamu,KE,2022-10-06 07:00:14,-2.2717,40.902,80.83,70,15,14.67
144,Warangal,IN,2022-10-06 07:00:15,18.0,79.5833,73.69,95,100,11.81
145,Liku,ID,2022-10-06 07:00:16,-0.7275,119.8922,81.97,80,100,2.68
146,High Level,CA,2022-10-06 07:00:16,58.5169,-117.136,38.71,71,22,4.76
147,Abu Samrah,SY,2022-10-06 07:00:17,35.3029,37.1841,75.67,38,0,3.56
148,Khuldabad,IN,2022-10-06 07:00:18,20.05,75.1833,72.59,81,100,4.16
149,Barra,BR,2022-10-06 07:00:19,-11.0894,-43.1417,77.05,52,27,11.72
150,Isangel,VU,2022-10-06 07:00:19,-19.55,169.2667,74.26,84,100,13.56
151,Mumford,GH,2022-10-06 07:00:20,5.2618,-0.759,75.79,89,49,9.04
152,Sao Joao Da Barra,BR,2022-10-06 07:00:20,-21.6403,-41.0511,70.38,83,100,9.69
153,Berdigestyakh,RU,2022-10-06 07:00:21,62.0989,126.6992,27.73,90,100,8.12
154,Narsaq,GL,2022-10-06 07:00:21,60.9167,-46.05,35.82,84,10,5.95
155,Vila Do Maio,CV,2022-10-06 07:00:22,15.1333,-23.2167,79.75,87,98,18.61
156,Puerto Ayora,EC,2022-10-06 07:00:23,-0.7393,-90.3518,65.55,96,96,3.0
157,Vicuna,CL,2022-10-06 07:00:24,-30.0319,-70.7081,54.14,59,1,2.21
158,Leningradskiy,RU,2022-10-06 07:00:25,69.3833,178.4167,28.98,89,100,5.84
159,Urumqi,CN,2022-10-06 06:58:01,43.801,87.6005,65.35,22,0,6.71
160,Ayaviri,PE,2022-10-06 07:00:26,-14.8864,-70.5889,41.16,26,38,2.8
161,Culfa,AZ,2022-10-06 07:00:27,38.9558,45.6308,78.67,24,0,4.88
162,Kokopo,PG,2022-10-06 07:00:27,-4.352,152.2633,84.13,67,100,10.94
163,Maxixe,MZ,2022-10-06 07:00:28,-23.8597,35.3472,84.65,52,0,7.83
164,Balaghat,IN,2022-10-06 07:00:28,21.8,80.1833,85.82,68,68,8.63
165,Pisco,PE,2022-10-06 07:00:29,-13.7,-76.2167,56.8,92,4,1.1
166,Tuktoyaktuk,CA,2022-10-06 07:00:29,69.4541,-133.0374,34.41,96,100,16.78
